epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.9372703532454947,0.5725368502715283,0.5037719110632736,2.1084988894579295,0.29836829836829837,0.16161616161616163,0.001
2,0.7191196072462273,0.712955779674166,0.6542669823602888,2.0221603112620907,0.42424242424242425,0.3957803796511961,0.001
3,0.5663100352020944,0.7680372381691234,0.7193364606211793,2.790395653852216,0.34965034965034963,0.2783302993976528,0.001
4,0.5708235264564319,0.7703646237393328,0.7268183725049845,2.318251068011308,0.4149184149184149,0.3722605054360735,0.001
5,0.4494264092530457,0.8254460822342902,0.7922577980644352,2.7034623617336746,0.47086247086247085,0.43144823595048815,0.001
6,0.35754307302233784,0.8619084561675717,0.832821355541701,3.767352731390433,0.351981351981352,0.27598089893171857,0.001
7,0.400555182205003,0.8332040341349883,0.7992958260389246,3.281788703557842,0.3473193473193473,0.2688990360223237,0.001
8,0.3282534013523253,0.8626842513576416,0.8353220730803601,2.7896224365576163,0.5501165501165501,0.5247695573548218,0.001
9,0.2645095554812644,0.9022498060512025,0.8783939983905363,4.124099657528367,0.3473193473193473,0.25881444481853527,0.001
10,0.37294377602746637,0.8525989138867339,0.8234405788439464,2.9118294819173487,0.3706293706293706,0.3095432126383518,0.001
11,0.24225331874111997,0.9092319627618308,0.8877375724303253,2.9331024016377394,0.5571095571095571,0.5295618266284912,0.001
12,0.2902398371564685,0.8944918541505043,0.8707646762685258,3.4295732908044227,0.36596736596736595,0.29633748076974986,0.001
13,0.2926543648618427,0.8906128782001551,0.8667141542727551,3.9134687749139254,0.5268065268065268,0.48197328396949485,0.001
14,0.22853464882349764,0.9069045771916214,0.8831613949590844,3.8056319216073606,0.4289044289044289,0.37711081434072885,0.001
15,0.22138293960281266,0.9100077579519007,0.8915172077980094,3.5320813927825516,0.5407925407925408,0.5006473357868684,0.001
16,0.20602692934179417,0.9208688906128782,0.9032228980366884,4.338356827528597,0.3822843822843823,0.3177282526254292,0.001
17,0.23015353913636427,0.9084561675717611,0.8874278659380775,3.6617385351141407,0.5268065268065268,0.4768258992474703,0.0005
18,0.1989205794060665,0.9239720713731575,0.9041152539341918,2.301526715566506,0.578088578088578,0.5582580156162852,0.0005
19,0.1273014585670341,0.939487975174554,0.9249205215865057,3.2999745035855566,0.5291375291375291,0.47911028034304753,0.0005
20,0.1520435629041159,0.9278510473235065,0.9108695499460895,3.628374131055647,0.5104895104895105,0.4612633556010705,0.0005
21,0.10335073784236486,0.9612102404965089,0.9512418916996904,3.711953414716006,0.5221445221445221,0.47238290768597896,0.0005
22,0.1615442071193822,0.9332816136539953,0.918171814080072,4.271928024731032,0.48484848484848486,0.4393026121422199,0.0005
23,0.12148729522760937,0.9511249030256013,0.937070508924795,4.975040367056999,0.3682983682983683,0.2961618052895944,0.0005
24,0.18967566357259374,0.9278510473235065,0.9108064751147854,3.878560651829933,0.4592074592074592,0.40976470176214813,0.00025
25,0.09690038595114502,0.9658650116369278,0.9575640118427726,4.1930707952818755,0.47086247086247085,0.420987753513885,0.00025
26,0.09717958515309104,0.9643134212567882,0.9558076220413375,3.473598572211709,0.5407925407925408,0.5061635893319062,0.00025
27,0.08340050863922856,0.9674166020170675,0.9575169250112817,3.785884423431884,0.5314685314685315,0.48536300650426406,0.00025
28,0.073744288357401,0.9759503491078355,0.9679614585383517,4.110747872611632,0.5244755244755245,0.4751284799893465,0.00025
