model,type,accuracy,macro_f1
Gradient Boosting,Classical ML,0.7066974595842956,0.5774750672990856
1D CNN,Deep Learning,0.3787528868360277,0.3584294774600574
CNN-GRU,Improved Deep Learning,0.46420323325635104,0.3803361355350239
