model,mean_accuracy,std_accuracy,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_macro_f1,std_macro_f1
Gradient Boosting,0.6870855165380209,0.16374951015055708,0.6093125735565562,0.20329974732207026,0.6242814323642386,0.16992369640640934,0.5768525041449593,0.18050628944526187
Support Vector Machine,0.6128112955127781,0.19759114664714747,0.5868063091732922,0.20229345689652797,0.5855370887190158,0.13684053769881055,0.5191706650685929,0.13072886015844676
Random Forest,0.6896974083366985,0.11277460302603562,0.5400399537574869,0.12229372468531806,0.5634797032962856,0.12142272980922522,0.5037143598830776,0.13540113068302853
Logistic Regression,0.5895564659554324,0.1985608121775141,0.6385410769031644,0.17989841336533308,0.5952696972264387,0.12077429681530162,0.4947886530623687,0.16475805648585093
