model,accuracy,macro_precision,macro_recall,macro_f1
Gradient Boosting,0.7066974595842956,0.6760916159546474,0.5603405853405853,0.5774750672990856
Logistic Regression,0.5796766743648961,0.5496783761151577,0.5718522218522218,0.5497973819551839
Support Vector Machine,0.5242494226327945,0.49796187875307824,0.5015762015762015,0.48392440227455835
Random Forest,0.6120092378752887,0.5499267077103489,0.4337893587893588,0.4135700311292297
