model,type,accuracy,macro_f1
Gradient Boosting,Classical ML,0.7066974595842956,0.5774750672990856
1D CNN,Raw-Signal Deep Learning,0.3787528868360277,0.3584294774600574
CNN-GRU,Raw-Signal Deep Learning,0.464203233256351,0.3803361355350239
Feature-Based MLP,Feature-Based Deep Learning,0.46420323325635104,0.4273665107587779
