epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,0.9699849210292263,0.5290923196276183,0.482703471824728,0.9803904204657583,0.5268065268065268,0.4982516466582905,0.001
2,0.6907463237886007,0.7812257564003103,0.7334399783602152,1.0043424277594595,0.46386946386946387,0.43553409812505145,0.001
3,0.4588041746218691,0.8456167571761055,0.8074667069177944,1.2808688678246833,0.4289044289044289,0.40170667221784595,0.001
4,0.3364530075327013,0.8813033359193173,0.8537501704474053,1.5532727992479063,0.3822843822843823,0.3731455574974441,0.001
5,0.2744018204273227,0.8968192397207138,0.8715014940969317,1.6616744252490552,0.46386946386946387,0.4811049677040978,0.001
6,0.2114542336127294,0.9208688906128782,0.9018501903579694,2.013943729978619,0.3613053613053613,0.3260291718616919,0.001
7,0.21844838761353882,0.9239720713731575,0.9050570004261714,2.1177422901689313,0.372960372960373,0.33387079457107305,0.0005
8,0.1901465539926702,0.9325058184639256,0.9162615059359839,2.264364183261678,0.4358974358974359,0.4283333333333334,0.0005
9,0.16058336430690934,0.948021722265322,0.9331068681774939,2.196338401877241,0.3939393939393939,0.3847190894713645,0.0005
10,0.1672078057302811,0.9363847944142746,0.9205918666840369,2.0653348374755787,0.4358974358974359,0.4473370288318746,0.0005
11,0.13201519331329084,0.95655546935609,0.9443721741266172,2.331515117750301,0.3939393939393939,0.38225818671512307,0.0005
12,0.15798593321750107,0.9387121799844841,0.9227669143461498,2.7242806153697567,0.351981351981352,0.3192196922140425,0.0005
13,0.11202371531997751,0.9612102404965089,0.9505210779902286,2.672504284026184,0.3706293706293706,0.35784383983657464,0.00025
14,0.11252904992588182,0.9666408068269977,0.9582101008145266,2.594470440542503,0.3752913752913753,0.3499986995965963,0.00025
15,0.11889242600285448,0.9588828549262994,0.9487440270844986,2.684691939181659,0.34965034965034963,0.32875252278408107,0.00025
16,0.09530406368822669,0.969743987587277,0.9621598663211147,2.5246539342375622,0.3962703962703963,0.38703329017604454,0.00025
