epoch,train_loss,train_accuracy,train_macro_f1,test_loss,test_accuracy,test_macro_f1
1,0.7949525296896245,0.6414435389988359,0.6067738000178159,1.0482500137688107,0.5773672055427251,0.4559110288711241
2,0.5923770157852328,0.7421420256111758,0.713702345232464,0.9462813213295529,0.5565819861431871,0.5028711912432843
3,0.4912672218399359,0.7986030267753201,0.7602072294837722,1.1243259675508284,0.5334872979214781,0.4717591235716479
4,0.4597234990495464,0.8137369033760187,0.7798479881700269,1.2995916723379086,0.49653579676674364,0.44569517254687546
5,0.37010539476613363,0.8573923166472642,0.8292302950767517,1.9996204397557238,0.5242494226327945,0.4867314067047776
6,0.3600438453335146,0.8620488940628638,0.8338647070656094,1.8660513087590902,0.5311778290993071,0.46895341334365725
7,0.2975032127639051,0.8789289871944121,0.8549377278453408,2.3265799610223836,0.48036951501154734,0.454528647352765
8,0.28048414843670844,0.8928987194412107,0.8719845995590405,2.1358619613818153,0.4133949191685912,0.40329368372521895
9,0.24251892690886162,0.8958090803259604,0.8755671860149636,3.0964840371979028,0.5080831408775982,0.44553635809352876
10,0.23794263549261793,0.919674039580908,0.9001060164620434,2.8627986469269486,0.3787528868360277,0.3868450826282152
11,0.23639312369165655,0.9068684516880093,0.8853260333746028,2.8048255270643816,0.5565819861431871,0.5099366902999879
12,0.2035895202989767,0.9173457508731082,0.8993676759516931,2.70778502331182,0.4110854503464203,0.4066282378154676
13,0.17937785857145666,0.9318975552968568,0.9172239219237347,3.1465456234871927,0.34872979214780603,0.3382226865256939
14,0.19149328360596413,0.9237485448195576,0.9099583331309393,2.3592471633639884,0.5542725173210161,0.5076352432658799
15,0.18719035845002696,0.9231664726426076,0.9058577056775131,3.9374583692560896,0.558891454965358,0.5129734095998634
16,0.1695732043078115,0.9342258440046566,0.91626157628834,4.253632034183702,0.558891454965358,0.5126034317568157
17,0.17666321267765253,0.930151338766007,0.9150237967919259,3.6158549425689026,0.5173210161662818,0.4880863103660593
18,0.15276753198142934,0.9435389988358557,0.9296853517013458,3.6168175156961686,0.48729792147806006,0.4426046873965975
19,0.16592122270911064,0.9441210710128056,0.9281481400586484,4.9293616490855845,0.3810623556581986,0.3820041944790436
20,0.15381546374041766,0.9441210710128056,0.9301789743201727,3.1628052967909173,0.5219399538106235,0.4628837280125732
21,0.13278042015048205,0.9569266589057043,0.9450467848441392,3.634200245098966,0.5127020785219399,0.47109500964652234
22,0.09867687110503977,0.9668218859138533,0.9583230009010318,3.5970148293056265,0.5057736720554272,0.47496904188524036
23,0.14916672829074548,0.9476135040745053,0.9345531363615945,4.836696862188337,0.42725173210161665,0.41643235323506894
24,0.20355571348467305,0.9208381839348079,0.9029907245065077,3.791012639627205,0.3972286374133949,0.40155332393704485
25,0.1342660776394765,0.9429569266589057,0.9298582128142185,4.064218821915998,0.3787528868360277,0.35842947746005743
